,One-sided,Pedestrian,Bicyclist,Moped rider,Motorcyclist,Car,SUV,Pickup,Van,Bus,Truck,Other,Unknown,2+ counterparties,Total
Pedestrian,-1,-1,-1,3,22,1041,855,399,202,18,75,36,602,350,3603
Bicyclist,-1,-1,-1,2,7,390,401,201,84,6,25,15,181,14,1326
Moped rider,280,3,1,7,1,119,96,62,17,0,2,4,52,11,655
Motorcyclist,2594,11,3,0,173,937,805,356,147,8,58,30,144,210,5476
Car,3644,26,7,2,15,2198,2347,1203,453,39,507,116,194,1747,12498
SUV,2780,16,5,1,13,1494,1559,829,314,22,402,90,123,1226,8874
Pickup,1806,7,2,1,3,430,489,348,119,13,205,51,27,379,3880
Van,409,2,0,0,3,279,287,204,70,5,81,24,25,250,1639
Bus,7,0,0,0,0,3,5,3,0,0,1,0,1,3,23
Truck,181,0,0,0,0,27,31,25,12,0,63,6,3,68,416
Other,871,2,1,0,4,125,135,95,29,1,11,82,30,30,1416
Unknown,207,2,0,0,8,80,61,51,6,0,9,6,14,41,485
Total,12779,69,19,16,249,7123,7071,3776,1453,112,1439,460,1396,4329,40291
