,One-sided,Pedestrian,Bicycle,Moped,Motorcycle,Car (S),Car (M),Car (L),SUV (S),SUV (M),SUV (L),SUV (XL),Pickup (S),Pickup (M),Pickup (L),Pickup (XL),Truck,Other,Unknown,2+ counterparties,Total
Pedestrian,0,0,0,3,24,364,511,420,365,386,203,76,75,255,126,76,94,312,683,520,4493
Bicycle,0,0,0,2,6,125,165,140,122,172,92,36,30,106,56,23,32,105,172,20,1404
Moped,257,3,1,6,1,30,53,38,27,34,20,13,14,31,13,6,4,23,52,13,639
Motorcycle,2636,12,3,0,174,292,404,329,331,301,189,63,76,189,93,47,84,205,140,262,5830
Car (S),991,5,3,0,7,186,292,212,252,259,156,60,51,188,107,69,172,187,56,569,3822
Car (M),1567,11,1,1,6,241,360,340,286,329,216,94,57,264,133,83,246,258,67,694,5254
Car (L),1451,12,3,0,3,156,253,212,198,226,181,68,37,161,109,69,176,210,62,541,4128
SUV (S),917,5,0,0,9,162,225,209,169,235,143,46,35,172,107,66,175,169,51,498,3393
SUV (M),1268,6,3,1,2,138,189,167,159,181,109,52,40,119,64,56,163,152,44,409,3322
SUV (L),533,4,2,0,1,67,96,82,78,77,49,16,17,48,33,21,80,62,14,183,1463
SUV (XL),186,0,0,0,1,17,25,31,19,19,10,13,2,16,14,12,19,18,5,58,465
Pickup (S),423,0,0,0,1,24,40,47,27,41,24,10,10,39,21,17,48,56,6,93,927
Pickup (M),957,5,0,1,1,52,78,73,80,83,49,19,17,76,54,36,112,89,13,180,1975
Pickup (L),400,1,0,0,1,32,29,33,35,28,17,12,7,32,11,13,62,31,6,74,824
Pickup (XL),235,0,2,0,0,7,11,11,13,15,8,8,1,11,17,12,30,14,3,28,426
Truck,201,0,0,0,0,6,13,10,6,9,11,3,0,11,10,4,74,19,3,76,456
Other,1337,3,1,0,8,96,158,158,123,153,92,42,33,147,76,62,115,221,50,288,3163
Unknown,227,2,0,0,8,32,24,26,23,33,8,5,10,38,4,5,11,15,13,41,525
Total,13586,69,19,14,253,2027,2926,2538,2313,2581,1577,636,512,1903,1048,677,1697,2146,1440,4547,42509
