,One-sided,Pedestrian,Bicyclist,Moped rider,Motorcyclist,Car,SUV,Pickup,Van,Bus,Truck,Other,Unknown,2+ counterparties,Total
Pedestrian,-1,-1,-1,0,6,406,392,176,73,11,34,8,165,230,1501
Bicyclist,-1,-1,-1,0,0,75,83,51,13,3,11,2,12,11,261
Moped rider,14,0,0,1,0,18,14,12,2,1,3,1,6,2,74
Motorcyclist,434,1,0,0,24,203,234,118,36,2,42,5,16,87,1202
Car,802,3,0,0,2,254,322,245,54,19,156,22,7,255,2141
SUV,591,1,0,0,1,108,172,127,25,4,105,16,5,152,1307
Pickup,404,0,0,0,1,44,57,73,12,1,74,11,4,58,739
Van,74,0,0,0,0,20,29,28,10,1,28,4,1,26,221
Bus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Truck,43,0,0,0,0,5,5,4,1,1,20,1,0,16,96
Other,124,0,0,0,1,27,26,19,8,0,3,10,2,4,224
Unknown,38,0,0,0,0,9,16,9,4,1,4,0,2,5,88
Total,2525,5,0,1,35,1169,1350,862,238,44,480,80,220,846,7855
