,One-sided,Pedestrian,Bicycle,Moped,Motorcycle,Car (S),Car (M),Car (L),SUV (S),SUV (M),SUV (L),SUV (XL),Pickup (S),Pickup (M),Pickup (L),Pickup (XL),Truck,Other,Unknown,2+ counterparties,Total
Pedestrian,0,0,0,3,18,260,385,296,252,266,129,52,51,166,96,55,64,230,535,317,3175
Bicycle,0,0,0,2,6,107,134,119,94,143,79,31,26,82,43,17,22,90,160,12,1167
Moped,246,3,1,6,1,25,47,34,27,28,18,11,12,24,11,5,1,19,46,11,576
Motorcycle,2252,11,3,0,153,227,337,276,277,237,127,45,62,148,73,31,50,166,126,184,4785
Car (S),828,4,3,0,6,170,263,189,238,226,136,50,45,166,89,62,130,167,53,504,3329
Car (M),1306,10,1,1,5,223,315,305,253,302,182,75,53,214,114,65,191,218,67,602,4502
Car (L),1152,11,3,0,3,146,230,187,184,186,152,60,32,124,90,50,132,180,60,469,3451
SUV (S),759,5,0,0,9,146,207,194,157,208,134,41,32,154,93,54,137,146,47,440,2963
SUV (M),1057,6,3,1,1,131,176,157,144,164,87,44,36,100,57,45,127,135,44,359,2874
SUV (L),427,3,2,0,1,63,91,75,73,71,46,10,16,43,27,18,69,61,14,163,1273
SUV (XL),150,0,0,0,1,14,23,31,17,15,8,13,2,15,11,11,13,18,5,54,401
Pickup (S),354,0,0,0,1,23,36,43,24,34,24,8,9,28,14,13,35,52,4,83,785
Pickup (M),794,5,0,1,1,44,72,63,76,73,47,17,16,70,47,27,86,77,12,156,1684
Pickup (L),317,1,0,0,1,31,26,31,32,24,15,11,6,27,9,10,42,29,5,64,681
Pickup (XL),188,0,2,0,0,6,11,11,11,15,8,7,1,10,15,9,25,11,3,25,358
Truck,162,0,0,0,0,6,10,8,5,7,10,2,0,10,10,3,57,16,3,61,370
Other,1153,3,1,0,7,89,146,135,109,137,85,34,30,129,65,51,85,192,47,262,2760
Unknown,192,2,0,0,8,29,22,22,19,25,8,3,8,31,4,4,7,10,11,37,442
Total,11337,64,19,14,222,1740,2531,2176,1992,2161,1295,514,437,1541,868,530,1273,1817,1242,3803,35576
